Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
1243-10019,1,"Subaru of America, Inc.",5-Day,,,FEB-2025,JF2SKAMC6NH, ,,Subaru,Forester, ,2022.0, ,b53a7979ded2ac2,32000.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,Y, ,, ,Y,,, ,Y,No,,No,ADAS,, ,Y, , , , , , ,,2025-02-01, ,FEB-2025,12:30, ,7304edfcca512b9,,Y,,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,CA ,,Y,Highway / Freeway,Dry,Unknown,,Y,Daylight,Y, , , , , , , ,,Other Fixed Object,Minor,Yes,,,, , , , , , , , , , , ,Proceeding Straight,No,Yes,Yes,60.0, ,Y,Y,Y, , ,Y, , ,Y, , , , , , , , , ,Y,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-10040,1,"Tesla, Inc.",5-Day,,,FEB-2025,7SAYGDEE4SF, ,,Tesla,Model Y, ,2025.0, ,cb542424f0cef01,2307.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , ,Y, , , , , ,,2025-02-01, ,FEB-2025,02:15, ,ca8758320652e65,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Altos, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,65.0, ,Dawn / Dusk, , ,Y, , , , , ,,Other Fixed Object,Unknown,Yes,,,, , , , , , , , , , , ,Lane / Road Departure,Yes,Unknown,Unknown,58.0, , ,Y,Y, , , , , , ,Y, ,Y, ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-10037,1,"Tesla, Inc.",5-Day,,,FEB-2025,7SAYGAEE0SF, ,,Tesla,Model Y, ,2025.0, ,bd529755f5a833c,1177.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , ,Y, , , , , ,,2025-02-01, ,FEB-2025,19:04, ,ebabd665837263a,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Sacramento, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Unknown,Unknown,Unknown,65.0, ,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,Unknown,Unknown,14.0, , , , , , , , , , , ,Y,Y, ,Y, , ,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-10034,1,"Tesla, Inc.",5-Day,,,FEB-2025,5YJ3E1EA8PF, ,,Tesla,Model 3, ,2023.0, ,5322c02b22fd491,137290.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , ,Y, , , , , ,,2025-02-01, ,FEB-2025,16:58, ,e0436a21652855a,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,35.0, ,Daylight,Y, , , , , , , ,,SUV,Unknown,Yes,Proceeding Straight,Yes,Unknown, , ,Y, , , , , , , , ,Making Left Turn,Yes,Unknown,Unknown,2.0, , , ,Y, , ,Y, , , , , ,Y, ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-10030,1,"Tesla, Inc.",5-Day,,,FEB-2025,7SAXCBE61PF, ,,Tesla,Model X, ,2023.0, ,460ef4baff2fed8,34009.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , ,Y, , , , , ,,2025-02-01, ,FEB-2025,13:04, ,622c48928429099,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,CA ,,Y,Unknown,Unknown,Unknown,70.0, ,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,Unknown,Unknown,72.0, , , , , , , , , , , ,Y,Y, ,Y, , ,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-10039,1,"Tesla, Inc.",5-Day,,,FEB-2025,7SAYGDEE2RF, ,,Tesla,Model Y, ,2024.0, ,1c3649728745110,4583.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , ,Y, , , , , ,,2025-02-01, ,FEB-2025,07:23, ,fda83a1431231c5,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Jose, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,65.0, ,Dark - Lighted,Y, , , , , , , ,,Other Fixed Object,Unknown,Yes,,,, , , , , , , , , , , ,Proceeding Straight,Yes,Unknown,Unknown,44.0, , , ,Y, , ,Y, , ,Y, , ,Y, ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-10031,1,"Tesla, Inc.",5-Day,,,FEB-2025,5YJ3E1EA6NF, ,,Tesla,Model 3, ,2022.0, ,ad84a72deb42efb,41824.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , ,Y, , , , , ,,2025-02-01, ,FEB-2025,03:11, ,a7ca6bc946cb93d,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Escondido, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Wet,No Unusual Conditions,70.0, ,Dark - Not Lighted, , , , ,Y, , , ,,Passenger Car,Unknown,Yes,Proceeding Straight,Yes,Unknown, , , , , ,Y, ,Y,Y, , ,"Other, see Narrative",Yes,Yes,Unknown,,Y, , , ,Y, , ,Y,Y, , , ,Y, ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-10026,1,"Tesla, Inc.",5-Day,,,FEB-2025,5YJ3E1EA5JF, ,,Tesla,Model 3, ,2018.0, ,e9b5631ef7a217a,78082.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , ,Y, , , , , ,,2025-02-01, ,FEB-2025,19:10, ,83f0d50eea813e5,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Anaheim, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Unknown,Unknown,Unknown,65.0, ,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,Unknown,Unknown,,Y, , , , , , , , , , ,Y,Y, ,Y, , ,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-10005,2,"Tesla, Inc.",10-Day Update,,,FEB-2025,7SAYGDED5SF, ,,Tesla,Model Y, ,2025.0, ,2c111219608dc75,1517.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,"Unknown, see Narrative",, , , , , , , ,Y,VOQ: 1161739,2025-01-01, ,FEB-2025,6:12, ,44cbb43b9c2db1c,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Torrance, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Unknown,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,Fatality,Unknown,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Unknown,Unknown,Unknown,,Y, , , , , , , , , , ,Y, , ,Y,Y, , , , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
669-9856,2,Hyundai Motor America,10-Day Update,,,FEB-2025,5NMJF3DE1RH, ,,Hyundai,Tucson, ,2024.0, ,6800ec033eae3b8,,Y,"Other, see Narrative",,Y, ,,Y, ,,Y, ,,Y, ,,,Y, ,Unknown,,No,ADAS,Hyundai Motor America, , , , , , , ,Y,Employee Accident Report,2025-01-01, ,JAN-2025,18:45, ,efa786af6b17452,,Y,,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Mohave, ,CA ,,Y,Highway / Freeway,Dry,Traffic Incident,,Y,Dark - Unknown Lighting,Y, , , , , , , ,,Animal,No Injuries Reported,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Proceeding Straight,No,Yes,Yes,,Y, , , , , ,Y, , , , , , , , , , , , ,Y,Unknown,,Y,No,,Y,,Y,,Y,Yes, ,"A Hyundai America Technical Center, INC (""HATCI"") associate was operating a 2024 Tucson employee lease vehicle with the vehicle's Adaptive Cruise Control (""ACC""), and Lane Following Assist (""LFA"") features engaged while driving on [XXX] south of Mohave, CA.  While traveling on the HWY a dog ran out in front of the vehicle and the vehicle struck the animal.  NASO is in process of reaching out to the associate for additional information.
*******************************************************
2025-02-18: No new updates.",
13781-10005,1,"Tesla, Inc.",1-Day,,,FEB-2025,7SAYGDED5SF, ,,Tesla,Model Y, ,2025.0, ,2c111219608dc75,1517.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,"Unknown, see Narrative",, ,Y, , , , , , ,,2025-01-01, ,FEB-2025,6:12, ,44cbb43b9c2db1c,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Torrance, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Unknown,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,Fatality,Unknown,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Unknown,Unknown,Unknown,,Y, , , , , , , , , , ,Y, , ,Y,Y, , , , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-9996,1,"Tesla, Inc.",5-Day,,,FEB-2025,5YJ3E1EA7NF, ,,Tesla,Model 3, ,2022.0, ,7b2dd7cc5cb36d4,41295.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, ,Y, , , , , , ,,2025-01-01, ,FEB-2025,16:37, ,71fc7c913ab91c2,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Hollister, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot,Dry,No Unusual Conditions,,Y,Daylight,Y, , , , , , , ,,Other Fixed Object,No Injuries Reported,Yes,,,, , , , , , , , , , , ,Lane / Road Departure,No,Yes,Unknown,8.0, , , , , , ,Y, , ,Y, , , , ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-9921,1,"Tesla, Inc.",5-Day,,,FEB-2025,7G2CEHED8SA, ,,Tesla,Cybertruck, ,2025.0, ,65203dcf5afb621,2025.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , ,Y, , , , , ,,2025-02-01, ,FEB-2025,09:38, ,95c2f2c6aad8497,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Pomona, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,65.0, ,Dark - Not Lighted,Y, , , , , , , ,,Other Fixed Object,Unknown,Yes,,,, , , , , , , , , , , ,Lane / Road Departure,Yes,Unknown,Unknown,68.0, ,Y,Y,Y, , , , , , , , ,Y, ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-9933,1,"Tesla, Inc.",5-Day,,,FEB-2025,5YJ3E1EA9JF, ,,Tesla,Model 3, ,2018.0, ,54fb4735ba45466,66896.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , ,Y, , , , , ,,2025-02-01, ,FEB-2025,07:29, ,e598b1e9fd4534e,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Pasadena, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Unknown,Unknown,Unknown,65.0, ,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,Unknown,Unknown,47.0, , , , , , , , , , , ,Y,Y, ,Y, , ,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-9935,1,"Tesla, Inc.",5-Day,,,FEB-2025,5YJYGAEEXMF, ,,Tesla,Model Y, ,2021.0, ,f82850d8d5a47e4,47560.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , ,Y, , , , , ,,2025-02-01, ,FEB-2025,00:18, ,26b5149e1c4ddbc,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Orange, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,65.0, ,Daylight,Y, , , , , , , ,,Pickup Truck,Unknown,Yes,Proceeding Straight,Unknown,Unknown,Y, , ,Y, , ,Y, , , , ,Proceeding Straight,Yes,Unknown,Unknown,19.0, , , ,Y, , ,Y, , ,Y, , ,Y, ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-9937,1,"Tesla, Inc.",5-Day,,,FEB-2025,5YJ3E1EAXKF, ,,Tesla,Model 3, ,2019.0, ,9a42bd3d0e4da74,78510.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , ,Y, , , , , ,,2025-02-01, ,FEB-2025,14:46, ,9e73a3770194f29,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Fairfield, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Unknown,Unknown,Unknown,55.0, ,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,Unknown,Unknown,68.0, , , , , , , , , , , ,Y,Y, ,Y, , ,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-9917,1,"Tesla, Inc.",5-Day,,,FEB-2025,7SAYGDEF9RA, ,,Tesla,Model Y, ,2024.0, ,03323c7bcbd3653,10139.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , , , , , , ,Y,Internal Engineering Review,2024-10-01, ,FEB-2025,03:43, ,c152ca15493ffd7,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Kettleman City, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Rural Road,Dry,No Unusual Conditions,55.0, ,Dark - Not Lighted,Y, , , , , , , ,,Van,Unknown,Yes,Proceeding Straight,Unknown,Unknown, , , , , ,Y, , ,Y, , ,Making U-Turn,Yes,Unknown,Unknown,10.0, , ,Y,Y, , , , , , , , ,Y, ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
669-9901,2,Hyundai Motor America,10-Day Update,,,FEB-2025,5NMJF3DE1RH, ,,HYUNDAI,TUCSON, ,2024.0, ,6800ec033eae3b8,,Y,"Other, see Narrative",,Y, ,,Y, ,,Y, ,, ,Y,,, ,Y,No,,No,ADAS,HYUNDAI MOTOR AMERICA, , , , , , , ,Y,EMPLOYEE ACCIDENT REPORT,2025-01-01, ,JAN-2025,18:45, ,efa786af6b17452,,Y,,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Mohave, ,CA ,,Y,Highway / Freeway,Dry,Traffic Incident,,Y,Dark - Unknown Lighting,Y, , , , , , , ,,Animal,No Injuries Reported,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Proceeding Straight,No,Yes,Yes,,Y, , , , , ,Y, , , , , , , , , , , , ,Y,Unknown,,Y,No,,Y,,Y,,Y,Yes, ,"A Hyundai America Technical Center, INC (""HATCI"") associate was operating a model year 2024 Tucson employee lease vehicle with the vehicle's Adaptive Cruise Control (""ACC"") and Lane Following Assist (""LFA"") features engaged simultaneously while travelling on [XXX]south of Mohave, California, when an animal (dog) ran in front of the vehicle causing the vehicle to strike the animal in a collision.  NASO is in process of reaching out to the associate for additional information.
************************************************************************
THIS IS A DUPLICATE REPORT OF [XXX] CREATED BY MISTAKE",
